cardnumber,ten,makh,preferredtotal use
TH000001,KH000001,05/29/2020
TH000002,KH000002,10/12/2021
TH000003,KH000003,10/30/2020
TH000004,KH000004,02/24/2021
TH000005,KH000005,08/16/2021
TH000006,KH000006,07/12/2020
TH000007,KH000007,02/06/2020
TH000008,KH000008,11/11/2020
TH000009,KH000009,01/20/2021
TH000010,KH000010,08/17/2020
TH000011,KH000011,01/05/2020
TH000012,KH000012,04/23/2020
TH000013,KH000013,02/02/2020
TH000014,KH000014,04/15/2020
TH000015,KH000015,12/09/2020
TH000016,KH000016,02/02/2020
TH000017,KH000017,01/17/2020
TH000018,KH000018,02/05/2021
TH000019,KH000019,07/03/2020
TH000020,KH000020,04/18/2021
TH000021,KH000021,10/21/2021
TH000022,KH000022,08/31/2020
TH000023,KH000023,11/27/2021
TH000024,KH000024,02/01/2021
TH000025,KH000025,01/01/2020
TH000026,KH000026,05/17/2021
TH000027,KH000027,10/21/2020
TH000028,KH000028,05/15/2020
TH000029,KH000029,01/26/2021
TH000030,KH000030,12/14/2021
TH000031,KH000031,07/20/2020
TH000032,KH000032,04/14/2021
TH000033,KH000033,08/09/2020
TH000034,KH000034,02/26/2020
TH000035,KH000035,12/31/2020
TH000036,KH000036,08/14/2021
TH000037,KH000037,09/13/2020
TH000038,KH000038,03/13/2020
TH000039,KH000039,10/24/2021
TH000040,KH000040,10/03/2021
TH000041,KH000041,05/03/2020
TH000042,KH000042,05/31/2021
TH000043,KH000043,07/12/2021
TH000044,KH000044,03/13/2021
TH000045,KH000045,06/06/2020
TH000046,KH000046,04/17/2020
TH000047,KH000047,08/04/2020
TH000048,KH000048,07/04/2021
TH000049,KH000049,08/20/2020
TH000050,KH000050,12/17/2020
TH000051,KH000051,11/21/2020
TH000052,KH000052,11/26/2021
TH000053,KH000053,07/05/2021
TH000054,KH000054,11/04/2021
TH000055,KH000055,11/16/2020
TH000056,KH000056,06/05/2020
TH000057,KH000057,01/13/2020
TH000058,KH000058,06/03/2021
TH000059,KH000059,01/24/2020
TH000060,KH000060,01/22/2021
TH000061,KH000061,06/15/2021
TH000062,KH000062,08/27/2020
TH000063,KH000063,10/12/2020
TH000064,KH000064,02/04/2020
TH000065,KH000065,08/22/2020
TH000066,KH000066,09/04/2020
TH000067,KH000067,11/15/2020
TH000068,KH000068,04/28/2021
TH000069,KH000069,10/04/2021
TH000070,KH000070,10/12/2020
TH000071,KH000071,08/09/2020
TH000072,KH000072,02/05/2021
TH000073,KH000073,05/20/2021
TH000074,KH000074,02/06/2020
TH000075,KH000075,01/28/2021
TH000076,KH000076,01/24/2021
TH000077,KH000077,12/19/2021
TH000078,KH000078,01/17/2021
TH000079,KH000079,08/01/2020
TH000080,KH000080,02/08/2021
TH000081,KH000081,06/05/2020
TH000082,KH000082,04/28/2021
TH000083,KH000083,04/24/2021
TH000084,KH000084,04/13/2020
TH000085,KH000085,04/11/2021
TH000086,KH000086,03/06/2020
TH000087,KH000087,09/01/2021
TH000088,KH000088,01/27/2020
TH000089,KH000089,04/15/2021
TH000090,KH000090,12/02/2021
TH000091,KH000091,10/08/2020
TH000092,KH000092,09/13/2020
TH000093,KH000093,02/03/2020
TH000094,KH000094,07/17/2021
TH000095,KH000095,03/10/2020
TH000096,KH000096,03/10/2020
TH000097,KH000097,04/14/2021
TH000098,KH000098,09/10/2020
TH000099,KH000099,12/16/2021
TH000100,KH000100,03/05/2021
